date,state,cases,,,
3/10/20,Michigan,2,,,
3/11/20,Michigan,2,,,
3/12/20,Michigan,12,,,
3/13/20,Michigan,25,,,
3/14/20,Michigan,33,,,
3/15/20,Michigan,53,,,
3/16/20,Michigan,54,,,
3/17/20,Michigan,65,,,
3/18/20,Michigan,80,,,
3/19/20,Michigan,334,,,
3/20/20,Michigan,548,,,
3/21/20,Michigan,787,,,
3/22/20,Michigan,1033,,,
3/23/20,Michigan,1324,,,
3/24/20,Michigan,1791,,,
3/25/20,Michigan,2293,,,
3/26/20,Michigan,2877,,,
3/27/20,Michigan,3655,,,
3/28/20,Michigan,4634,,,
3/29/20,Michigan,5486,,,
3/30/20,Michigan,6508,,,
3/31/20,Michigan,7629,,,
4/1/20,Michigan,9292,,,
4/2/20,Michigan,10791,,,
4/3/20,Michigan,12669,,,
4/4/20,Michigan,14225,,,
4/5/20,Michigan,15633,,,
4/6/20,Michigan,17129,,,
4/7/20,Michigan,18851,,,
4/8/20,Michigan,20220,,,
4/9/20,Michigan,21375,,,
4/10/20,Michigan,22646,,,
4/11/20,Michigan,23855,,,
4/12/20,Michigan,24496,,,
4/13/20,Michigan,25490,,,
4/14/20,Michigan,26845,,,
4/15/20,Michigan,27894,,,
4/16/20,Michigan,29120,,,
4/17/20,Michigan,29954,,,
4/18/20,Michigan,30718,,,
4/19/20,Michigan,31349,,,
4/20/20,Michigan,31929,,,
4/21/20,Michigan,32936,,,
4/22/20,Michigan,33973,,,
4/23/20,Michigan,35253,,,
4/24/20,Michigan,36628,,,
4/25/20,Michigan,37302,,,
4/26/20,Michigan,38003,,,
4/27/20,Michigan,38457,,,
4/28/20,Michigan,39469,,,
4/29/20,Michigan,40443,,,
4/30/20,Michigan,41348,,,
5/1/20,Michigan,42348,,,
5/2/20,Michigan,43191,,,
5/3/20,Michigan,43803,,,
5/4/20,Michigan,43996,,,
5/5/20,Michigan,44391,,,
5/6/20,Michigan,45079,,,
5/7/20,Michigan,45643,,,
5/8/20,Michigan,46319,,,
5/9/20,Michigan,46735,,,
5/10/20,Michigan,47116,,,
5/11/20,Michigan,47526,,,
5/12/20,Michigan,47946,,,
5/13/20,Michigan,48307,,,
5/14/20,Michigan,49489,,,
5/15/20,Michigan,49982,,,
5/16/20,Michigan,50416,,,
5/17/20,Michigan,51054,,,
5/18/20,Michigan,51853,,,
5/19/20,Michigan,52337,,,
5/20/20,Michigan,52988,,,
5/21/20,Michigan,53468,,,
5/22/20,Michigan,53865,,,
5/23/20,Michigan,54304,,,
5/24/20,Michigan,54616,,,
5/25/20,Michigan,54816,,,
